Papel,Empresa,Setor,Cotação,P/L,EV/EBITDA,P/VP,ROE,Div.Yield,Cresc. Rec.5a,Dív.Brut/ Patrim.,Patrim. Líq
RSID3,ROSSI RESIDENCIAL,Construção Civil,3.6,-0.14,-8.76,-0.06,41.43,0.0,-28.52,-0.51,-1248330000.0
SNSY5,SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,Materiais Diversos,5.18,-0.14,3.12,-0.02,15.19,0.0,21.03,-0.07,-1895740000.0
TEKA4,TEKA S.A.,"Tecidos, Vestuário e Calçados",32.0,-0.11,160.18,-0.01,7.43,0.0,22.2,-0.27,-2032660000.0
NEXP3,NEXPE,Exploração de Imóveis,4.75,-0.09,4.09,-0.09,96.62,0.0,-6.75,-0.41,-143251000.0
SGPS3,Springs,"Tecidos, Vestuário e Calçados",1.01,-0.06,-2.82,0.31,-470.13,0.0,-1.31,6.43,165504000.0
OIBR4,OI,Telecomunicações,2.12,-0.06,-12.77,-0.05,84.29,0.0,-17.48,-0.94,-26822900000.0
PMAM3,PARANAPANEMA S.A.,Siderurgia e Metalurgia,3.79,-0.05,-6.36,-0.04,78.99,0.0,-30.0,-0.91,-4007930000.0
OSXB3,OSX BRASIL,"Petróleo, Gás e Biocombustíveis",5.07,-0.05,1185.65,0.0,5.25,0.0,47.86,-0.94,-6229240000.0
AMER3,AMERICANAS,Comércio,0.59,-0.04,-7.15,-0.02,48.42,0.0,48.76,-0.85,-26666600000.0
PDGR3,PDG REALT,Construção Civil,0.34,-0.03,-85.01,0.0,17.17,0.0,-0.88,-0.27,-5380590000.0
HETA4,HERCULES S/A,Utilidades Domésticas,6.59,0.02,191.89,-0.01,-58.7,0.0,36.63,-0.92,-351981000.0
ATMP3,ATMASA,Serviços Diversos,3.01,0.07,-6.52,-4.79,-6969.54,0.0,-19.91,-13.71,-16770000.0
MNDL3,MUNDIAL S/A,"Tecidos, Vestuário e Calçados",39.6,0.11,4.95,0.63,583.75,0.0,15.86,2.52,155887000.0
